index,answer,prediction,answer_clean,pred_clean,correct,cer,wer,jaro_winkler
0,Back to School,Васк +о Яс^оо},back to school,васк +о яс^оо},False,0.8571428571428571,1.0,0.5714285714285714
1,ABCDEFGHI JKLMNOPQR STUVWXYZ 1234567890,АВФ.Е@@[ Ш1Ъ{М@Р@В 'т  ж 2 1234567890,abcdefghi jklmnopqr stuvwxyz 1234567890,авф.е@@[ ш1ъ{м@р@в 'т  ж 2 1234567890,False,0.6666666666666666,1.25,0.4640794640794641
2,Progimp.ru,Рго:ёшр <ч,progimp.ru,рго:ёшр <ч,False,1.0,2.0,1.0
3,я школу!,Ъ [,я школу!,ъ [,False,0.875,1.0,0.5138888888888888
4,С ДНЕМ ЗНАНИЙ!,С ФНЕМ ЗНАНИИ;,с днем знаний!,с фнем знании;,False,0.21428571428571427,0.6666666666666666,0.11428571428571432
5,Pizza,"?22""",pizza,"?22""",False,1.0,1.0,1.0
6,much wine?,"""'&Ё? 'ф",much wine?,"""'&ё? 'ф",False,1.0,1.0,0.5916666666666666
7,back to chool!,1о ~СНООЦ {ВАСК,back to chool!,1о ~снооц {васк,False,1.0714285714285714,1.0,0.5746031746031746
8,APRiL IS CHiLD ABUSE PREVENTION MONTH,;Р?Ц /5 (ЦЦ АВ&ЯЕ РРЕПШЯШПН,april is child abuse prevention month,;р?ц /5 (цц ав&яе ррепшяшпн,False,0.8918918918918919,1.0,0.5812479145812479
9,"ПРАВИЛА 
 НАШЕЙ 
 СЕМЬИ",ПРАВИИА ВВШШ,правила   нашей   семьи,правииа ввшш,False,0.6521739130434783,1.0,0.3285024154589372
10,"what does your free look like? Decorate the christmas 
 free witch crayola crayons, markers, and glitter glue","[}а' 8о6з уачг #о ^ф4 Пр? Гесагпее [ъ С4п:п@в 'гевч €/ыю  <атапз_шащвг: #я,шы аце","what does your free look like? decorate the christmas   free witch crayola crayons, markers, and glitter glue","[}а' 8о6з уачг #о ^ф4 пр? гесагпее [ъ с4п:п@в 'гевч €/ыю  <атапз_шащвг: #я,шы аце",False,0.8623853211009175,1.0,0.5727267149922604
11,5Б/8 ул. Некрасова,5Ш !Л [ЮШИСОВА,5б/8 ул. некрасова,5ш !л [юшисова,False,0.5555555555555556,1.0,0.4113756613756614
12,Преображенский храм,^9 Штот Преокр женскпй Храм тв 5,преображенский храм,^9 штот преокр женскпй храм тв 5,False,0.8421052631578947,3.0,0.3442982456140351
13,12 ОЛЬХОВАЯ,12 ОЛЬХОВАЯ,12 ольховая,12 ольховая,True,0.0,0.0,0.0
14,пр. Чайковского 31а,др Чайковского 31а,пр. чайковского 31а,др чайковского 31а,False,0.10526315789473684,0.3333333333333333,0.05360623781676421
15,средняя школа 20,#419) ШД:,средняя школа 20,#419) шд:,False,0.875,1.0,0.6041666666666667
16,22-20,,22-20,nan,False,1.0,1.0,1.0
17,belgoro,ва!@ок9,belgoro,ва!@ок9,False,1.0,1.0,1.0
18,61,[,61,[,False,1.0,1.0,1.0
19,улица Полевая 35,улица Полевая 35,улица полевая 35,улица полевая 35,True,0.0,0.0,0.0
20,У меня только две проблемы- нечего надеть и маленький шкаф,МЕНЯ ТОЛЬКО АВЕ ПРОБАЕМЫ- НЕЧЕГО НАДЕТЬ МААЕНЬКИЙ ШКАФ,у меня только две проблемы- нечего надеть и маленький шкаф,меня только аве пробаемы- нечего надеть мааенький шкаф,False,0.1206896551724138,0.5,0.16985951468710103
21,улица набережная 28,Ш `е  1 1 Амкун ё 9 (,улица набережная 28,ш `е  1 1 амкун ё 9 (,False,0.9473684210526315,2.6666666666666665,0.6329156223893067
22,машук 2016,МАШУК 2016,машук 2016,машук 2016,True,0.0,0.0,0.0
23,Целебный источник,ШЕшиеп,целебный источник,шешиеп,False,0.8823529411764706,1.0,0.5522875816993464
24,Catrix  8(499)657 90 48 catrix.ru,(а+' сап 64 7 тысаунэ 38499} 65,catrix  8(499)657 90 48 catrix.ru,(а+' сап 64 7 тысаунэ 38499} 65,False,0.9393939393939394,1.4,0.5175720337010661
25,озерная  13,63,озерная  13,63,False,0.9090909090909091,1.0,1.0
26,управление промышленного компле и природопользования администрации ракитянского райо,Роп-омышы ~оэъ пРнРодо лъзовннут АДМИНИСТРАцИИ ЗАКИТЯНСКОГО РАЙЫ',управление промышленного компле и природопользования администрации ракитянского райо,роп-омышы ~оэъ прнродо лъзовннут администрации закитянского райы',False,0.4166666666666667,0.875,0.31181596181596183
27,DESTROY,@ЁЗТ?О},destroy,@ёзт?о},False,1.0,1.0,1.0
28,БЕЛГОРОД ХАРЬКОВ,БЕЛГОРОД ХАРЬКОВ ЕГСО ТО:₽ ГОЛОКИНСИЕ Пнн (ИЕЕСт&,белгород харьков,белгород харьков егсо то:₽ голокинсие пнн (иеест&,False,2.0625,2.5,0.13469387755102047
29,28 привольная,28 ПРИВОлЬАя А+о,28 привольная,28 привольая а+о,False,0.38461538461538464,1.0,0.06538461538461537
30,БИБЛИОТЕЧНАЯ ЖИЗНЬ БЕЛГОРОДЧИНЫ,КЕЕЛРРПМНАЕ АЧАЕ ппчяы,библиотечная жизнь белгородчины,кеелррпмнае ачае ппчяы,False,0.7741935483870968,1.0,0.5029325513196481
31,улица СПАРТАК 10-А,Рул # ЦА СПАРТАК 10А,улица спартак 10-а,рул # ца спартак 10а,False,0.2777777777777778,1.3333333333333333,0.22870370370370363
32,Фабрика Рекламы 8-962-307-01-01,Фабрика Рекламы [? 8-962-307-01-От,фабрика рекламы 8-962-307-01-01,фабрика рекламы [? 8-962-307-01-от,False,0.16129032258064516,0.6666666666666666,0.042314990512334005
33,домовые таблички.рф,ппмппыа,домовые таблички.рф,ппмппыа,False,0.8421052631578947,1.0,0.4711779448621555
34,Бел ИРО,ш_ 1 БРЛХИРО [эшех; ₽>я-шаш Еаттэ/МЕХтэрИ РФ ышз @ч[лиы Тыы ~епрре т,бел иро,ш_ 1 брлхиро [эшех; ₽>я-шаш еаттэ/мехтэри рф ышз @ч[лиы тыы ~епрре т,False,9.0,6.0,0.4418767507002801
35,ОТКР ОР,"м47п Тепяч:нтлагэцныанэъуа ~кыплы ны1 # пмчсраишя ы10гп нтеем [1-шл] ОТКР ?я,1. ягачыра - Им ?} 7шч ы г]:7 ""сн & . г агар - тианг_-р ОРН тт пыныршъ4ла 1ы-",откр ор,"м47п тепяч:нтлагэцныанэъуа ~кыплы ны1 # пмчсраишя ы10гп нтеем [1-шл] откр ?я,1. ягачыра - им ?} 7шч ы г]:7 ""сн & . г агар - тианг_-р орн тт пыныршъ4ла 1ы-",False,21.0,14.0,0.4235209235209235
36,производство бегущих строк,ПРОИЗВОДСТВО БЕГЖИХ СТРОК,производство бегущих строк,производство бегжих строк,False,0.07692307692307693,0.3333333333333333,0.023384615384615337
37,улица З.Биишевой 13,3. БийшЕвой  13,улица з.биишевой 13,3. бийшевой  13,False,0.47368421052631576,0.6666666666666666,0.21725146198830414
38,МОБИЛЬНОЕ ПРИЛОЖЕНИЕ ДЛЯ СМАРТФОНОВ НЕТ СВЕТА,МОБИЛЬНОЕ ПРИПОЖЕНИЕ #Етан ДЛЯ СМАРТООНОВ ~НЕГ СВЕТАЛ,мобильное приложение для смартфонов нет света,мобильное припожение #етан для смартоонов ~нег светал,False,0.24444444444444444,0.8333333333333334,0.11639217980595773
39,переулок ЗАБАЛКОВСКИЙ 1,[е ~^` ЗАБАЛКОВСКИЙ п е р еул о к 2,переулок забалковский 1,[е ~^` забалковский п е р еул о к 2,False,0.9565217391304348,3.0,0.38251667816885215
40,36,36,36,36,True,0.0,0.0,0.0
41,РЕКЛАМНОЕ АГЕНТСТВО ПРИОРИТЕ световые короба от 8 500р. м,АГЕНТЕТЕО ПРИПРИТВ световые короба 8 50бр: м' РЕКПАМНЕЕ,рекламное агентство приорите световые короба от 8 500р. м,агентетео припритв световые короба 8 50бр: м' рекпамнее,False,0.5263157894736842,0.7777777777777778,0.27104685296904985
42,правильное расположение тактильной таблички,Е} ЕПЕПа-ЕНЕТЫТИЫПНаНТЧБПН ГЦ,правильное расположение тактильной таблички,е} епепа-енетытиыпнантчбпн гц,False,0.7441860465116279,1.0,0.4498648608512281
43,8 - я ЛИНИЯ 143,88-я линия,8 - я линия 143,88-я линия,False,0.4,0.8,0.18333333333333335
44,ДЗГОЕВ ФЕДОР СТЕПАНОВИЧ,"ДЗГОЕВ ФЕДОР СТЕПАНОВИЧ КоыиуР 12 5лад9 5/5 ₽ срэтЕаяЕмшндетии#л ПЕаЕтада #ашосая енн= ~51Ешн  Длилело Шъ_ гЕл:г лппр 5ВЗм зпыгшно Шити %пыа 7о % Рли- #шам Елттапр , ,, ыос Пэлн",дзгоев федор степанович,"дзгоев федор степанович коыиур 12 5лад9 5/5 ₽ срэтеаяемшндетии#л пеаетада #ашосая енн= ~51ешн  длилело шъ_ гел:г лппр 5взм зпыгшно шити %пыа 7о % рли- #шам елттапр , ,, ыос пэлн",False,6.695652173913044,9.0,0.17401129943502824
45,"30 
 1223",30 1223,30   1223,30 1223,False,0.2222222222222222,0.0,0.051851851851851816
46,Денежный поток,[ПеП уи (?? [*.,денежный поток,[пеп уи (?? [*.,False,1.0,2.0,0.6396825396825396
47,КОРАЛЛОВАЯ 18 УЛИЦА,КОРАЛЛОВАЯ 18 5,коралловая 18 улица,коралловая 18 5,False,0.2631578947368421,0.3333333333333333,0.06596491228070178
48,"Петрова 
 Ирина 
 Васильевна 
 12.03.1898 - 14.05.1973",Петоова Ирина ВаснАьевна 12.03.1898-14.05.1973,петрова   ирина   васильевна   12.03.1898 - 14.05.1973,петоова ирина васнаьевна 12.03.1898-14.05.1973,False,0.2037037037037037,0.8333333333333334,0.11158546480420428
49,2А УЛИЦА ИГНАТЬЕВСКАЯ,24' УЛИЦА (дтмшвсуу,2а улица игнатьевская,24' улица (дтмшвсуу,False,0.5238095238095238,0.6666666666666666,0.3899901268322321
50,ТРУДЫ ПО ЕВРЕЙСКОЙ ИСТОРИИ И КУЛЬТУРЕ,"итгенкшшн нчаанни Ет,ыи #т амь;иъцткатяиг иън.эпн_пшпки шъины",труды по еврейской истории и культуре,"итгенкшшн нчаанни ет,ыи #т амь;иъцткатяиг иън.эпн_пшпки шъины",False,1.3783783783783783,1.1666666666666667,0.5542919969149478
51,ТЕХНОЛОГИИ ТУРИСТСКОЙ ДЕЯТЕЛЬНОСТИ: СОСТОЯНИЕ И ПЕРСПЕКТИВЫ РАЗВИТИЯ,згснач сп:Ч технапатин 1Уеи]ЕтаипЕн]ЧпАнаги СОСТОяН{Еи ПЕРСПЕкТИВЫ НД_н|ян аиалвмн,технологии туристской деятельности: состояние и перспективы развития,згснач сп:ч технапатин 1уеи]етаипен]чпанаги состоян{еи перспективы нд_н|ян аиалвмн,False,0.7647058823529411,1.0,0.37513948668898456
52,Сергей Орлов,Сереей Орлов,сергей орлов,сереей орлов,False,0.08333333333333333,0.5,0.03888888888888897
53,СИЛА ЦВЕТА' МОСКВА,СИЛА ЦВЕТА' МОСКВА,сила цвета' москва,сила цвета' москва,True,0.0,0.0,0.0
54,бомбезная кепка,БШШЮИ,бомбезная кепка,бшшюи,False,0.9333333333333333,1.0,0.5777777777777777
55,росгвардия,[ЮШВД,росгвардия,[юшвд,False,0.8,1.0,0.4666666666666667
56,ПРОМ ПЕЧАТЬ,Ш?ЫМ ПЕЧАТЬ,пром печать,ш?ым печать,False,0.2727272727272727,0.5,0.18181818181818177
57,СВОЙ ДИЗАЙН,(ВОЙ ЩМ,свой дизайн,(вой щм,False,0.6363636363636364,1.0,0.35497835497835506
58,ВЫШЕ НОС КУСОК МЯСА!,ППС,выше нос кусок мяса!,ппс,False,0.95,1.0,0.538888888888889
59,TopCAR,"ЮЁ(& ,кфвшвмела е",topcar,"юё(& ,кфвшвмела е",False,2.8333333333333335,3.0,1.0
60,Shut up and FISH!,сШДФь [[5Щ,shut up and fish!,сшдфь [[5щ,False,0.9411764705882353,1.0,0.6137254901960785
61,logo,[о9о,logo,[о9о,False,1.0,1.0,1.0
62,SENDAYS BEST,"4 МБ41""",sendays best,"4 мб41""",False,1.0,1.0,1.0
63,GRL PWR,@,grl pwr,@,False,1.0,1.0,1.0
64,go,к [с?,go,к [с?,False,2.5,2.0,1.0
65,"Mr. 
 Cards",{Мт: Сагф,mr.   cards,{мт: сагф,False,0.9090909090909091,1.0,0.5993265993265993
66,T-Rex is BEST,1 Т-8ех 8Е$Т!,t-rex is best,1 т-8ех 8е$т!,False,1.0,1.0,0.6239316239316239
67,Stale,(Зюю;,stale,(зюю;,False,1.0,1.0,1.0
