index,answer,prediction,answer_clean,pred_clean,correct,cer,wer,jaro_winkler
0,Back to School,Back to School,back to school,back to school,True,0.0,0.0,0.0
1,ABCDEFGHI JKLMNOPQR STUVWXYZ 1234567890,ABCDEFGHI JKLMNOPOR STUVWXYZ 1234567890,abcdefghi jklmnopqr stuvwxyz 1234567890,abcdefghi jklmnopor stuvwxyz 1234567890,False,0.02564102564102564,0.25,0.01025641025641022
2,Progimp.ru,Progimp.ru,progimp.ru,progimp.ru,True,0.0,0.0,0.0
3,я школу!,UKOJM,я школу!,ukojm,False,1.0,1.0,1.0
4,С ДНЕМ ЗНАНИЙ!,CDHEM 3HAHWW!,с днем знаний!,cdhem 3hahww!,False,0.8571428571428571,1.0,0.5677655677655677
5,Pizza,Pizza ,pizza,pizza,True,0.0,0.0,0.0
6,much wine?,much WINE?,much wine?,much wine?,True,0.0,0.0,0.0
7,back to chool!,BACK TO SCHOOL!,back to chool!,back to school!,False,0.07142857142857142,0.3333333333333333,0.013333333333333308
8,APRiL IS CHiLD ABUSE PREVENTION MONTH,米 APRILIS CHiLD ABUSE PREVENTION MONTH 米,april is child abuse prevention month,米 aprilis child abuse prevention month 米,False,0.13513513513513514,0.5,0.052027027027026995
9,"ПРАВИЛА 
 НАШЕЙ 
 СЕМЬИ",DIPABMAA HADER CEMbH,правила   нашей   семьи,dipabmaa hader cembh,False,0.9130434782608695,1.0,0.6043478260869566
10,"what does your free look like? Decorate the christmas 
 free witch crayola crayons, markers, and glitter glue","treewithCrayolacrayons,markers,andglitterglue What doesyour treelookBke?Decorate the Christmas","what does your free look like? decorate the christmas   free witch crayola crayons, markers, and glitter glue","treewithcrayolacrayons,markers,andglitterglue what doesyour treelookbke?decorate the christmas",False,0.8348623853211009,0.8823529411764706,0.2453576874780775
11,5Б/8 ул. Некрасова,5/8 yn. HEKDACOBA,5б/8 ул. некрасова,5/8 yn. hekdacoba,False,0.6666666666666666,1.0,0.43790849673202614
12,Преображенский храм,A5 P MackoccanIlerpaoxnr PttLanHlaana uanllegkonh HlpeOkpaKeHCKH XpaM,преображенский храм,a5 p mackoccanilerpaoxnr pttlanhlaana uanllegkonh hlpeokpakehckh xpam,False,3.5789473684210527,3.5,0.6442918891431477
13,12 ОЛЬХОВАЯ,12 OnbXOBAA,12 ольховая,12 onbxobaa,False,0.7272727272727273,0.5,0.48484848484848486
14,пр. Чайковского 31а,np.yaMKoBcKoro 31a,пр. чайковского 31а,np.yamkobckoro 31a,False,0.7894736842105263,1.0,0.5224171539961013
15,средняя школа 20,HFEAHOIKOA NE20,средняя школа 20,hfeahoikoa ne20,False,0.875,1.0,0.5375000000000001
16,22-20,Gemle Bngotes 22-20,22-20,gemle bngotes 22-20,False,2.8,2.0,1.0
17,belgoro,BELGOR,belgoro,belgor,False,0.14285714285714285,1.0,0.02857142857142858
18,61,61,61,61,True,0.0,0.0,0.0
19,улица Полевая 35,HoIeBaa yJHna 35,улица полевая 35,hoiebaa yjhna 35,False,0.8125,0.6666666666666666,0.5
20,У меня только две проблемы- нечего надеть и маленький шкаф,YMEHTOAbKO ABE IPOBAEMbI- HEUErO HAAETb W MAAEHbKVY LLIKAP,у меня только две проблемы- нечего надеть и маленький шкаф,ymehtoabko abe ipobaembi- heuero haaetb w maaehbkvy llikap,False,0.9137931034482759,1.0,0.6163793103448276
21,улица набережная 28,JIH 28元,улица набережная 28,jih 28元,False,0.8947368421052632,1.0,0.6015037593984962
22,машук 2016,MAIIYK 2016,машук 2016,maiiyk 2016,False,0.6,0.5,0.3484848484848485
23,Целебный источник,a,целебный источник,a,False,1.0,1.0,1.0
24,Catrix  8(499)657 90 48 catrix.ru,Carti 8（499)6479048-cartix.ru paCxo at,catrix  8(499)657 90 48 catrix.ru,carti 8（499)6479048-cartix.ru pacxo at,False,0.6060606060606061,1.0,0.1867699551910078
25,озерная  13,039p449 Bavua Alacrep,озерная  13,039p449 bavua alacrep,False,1.7272727272727273,1.5,0.6392496392496392
26,управление промышленного компле и природопользования администрации ракитянского райо,eh证 KOMIJIEK IPHPOnOHON63OBAHWA AAMMHWCTPALWW PAKMTAHCKOT PAWOH,управление промышленного компле и природопользования администрации ракитянского райо,eh证 komijiek iphponohon63obahwa aammhwctpalww pakmtahckot pawoh,False,0.9523809523809523,1.0,0.6203703703703705
27,DESTROY,DESTROY,destroy,destroy,True,0.0,0.0,0.0
28,БЕЛГОРОД ХАРЬКОВ,BEnrOPO → XAPbKOB 6P0000P rOnOBKHCKDE XOTHEXORCTB OoL,белгород харьков,benropo → xapbkob 6p0000p ronobkhckde xothexorctb ool,False,3.25,3.5,0.6395440251572326
29,28 привольная,28 HPHBOJDHAA Avito,28 привольная,28 hphbojdhaa avito,False,1.2307692307692308,1.0,0.5371120107962213
30,БИБЛИОТЕЧНАЯ ЖИЗНЬ БЕЛГОРОДЧИНЫ,GMEIROTEUHAEXHHN GEIOTOTNMMI B.s Slo,библиотечная жизнь белгородчины,gmeiroteuhaexhhn geiototnmmi b.s slo,False,1.1290322580645162,1.3333333333333333,0.6266427718040621
31,улица СПАРТАК 10-А,APTAK CII,улица спартак 10-а,aptak cii,False,0.9444444444444444,1.0,0.6111111111111112
32,Фабрика Рекламы 8-962-307-01-01,BMHHO. 中a6pukaPeknaMb 8-962-307-01-01,фабрика рекламы 8-962-307-01-01,bmhho. 中a6pukapeknamb 8-962-307-01-01,False,0.6774193548387096,0.6666666666666666,0.36993350086329213
33,домовые таблички.рф,nOMOBble,домовые таблички.рф,nomobble,False,1.0,1.0,1.0
34,Бел ИРО,BenvPo HnNTampoeneHgperoamHoroTama BcepoccHotcKDeoKoHxypcaMeTOx DeaRHSsLEHkFpurPEMNb,бел иро,benvpo hnntampoenehgperoamhorotama bcepocchotckdeokohxypcametox dearhsslehkfpurpemnb,False,11.857142857142858,2.0,0.6150793650793651
35,ОТКР ОР,"OTKP HaGHTan H CH oC N ""OTKPSTO3ASPbTOayTpn  1 Ap:0421030 rpoanmtkoco""Ato COTERaIDTDrOHEN.  Aao:141500.ocon.r.an yn3A OO0.+-51-T3 OPI",откр ор,"otkp haghtan h ch oc n ""otkpsto3aspbtoaytpn  1 ap:0421030 rpoanmtkoco""ato coteraidtdrohen.  aao:141500.ocon.r.an yn3a oo0.+-51-t3 opi",False,18.857142857142858,7.5,0.6165413533834587
36,производство бегущих строк,nPOM3BOACTBO GEryLNXCTPOK,производство бегущих строк,npom3boactbo gerylnxctpok,False,0.9615384615384616,1.0,0.6405128205128205
37,улица З.Биишевой 13,YAHUA 13 3.BHNIEBON,улица з.биишевой 13,yahua 13 3.bhniebon,False,0.9473684210526315,1.0,0.672514619883041
38,МОБИЛЬНОЕ ПРИЛОЖЕНИЕ ДЛЯ СМАРТФОНОВ НЕТ СВЕТА,PCETW MOSMNbHOENPNNOKEHNE POCCET CMAPTOHOB《HETCBETA HETCILLA PTIPHCR,мобильное приложение для смартфонов нет света,pcetw mosmnbhoenpnnokehne poccet cmaptohob《hetcbeta hetcilla ptiphcr,False,1.4222222222222223,1.0,0.605119825708061
39,переулок ЗАБАЛКОВСКИЙ 1,,переулок забалковский 1,nan,False,1.0,1.0,1.0
40,36,36,36,36,True,0.0,0.0,0.0
41,РЕКЛАМНОЕ АГЕНТСТВО ПРИОРИТЕ световые короба от 8 500р. м,PEKNIAMHOEArEHTCTBO NPVOPVTE CBeTOBble KOpo6a 8 500 OT P.M,рекламное агентство приорите световые короба от 8 500р. м,pekniamhoearehtctbo npvopvte cbetobble kopo6a 8 500 ot p.m,False,0.8947368421052632,1.0,0.6108590441621295
42,правильное расположение тактильной таблички,"1.2-1,6  DPABW-HOEPACIONOREHMETAKTMNBHORTAENMNK",правильное расположение тактильной таблички,"1.2-1,6  dpabw-hoepacionorehmetaktmnbhortaenmnk",False,1.0930232558139534,1.0,0.6369783935345539
