index,answer,prediction,answer_clean,pred_clean,correct,cer,wer,jaro_winkler
0,"Щукин
лемех",LLLy KUH AeMex T,щукин лемех,llly kuh aemex t,False,1.3636363636363635,2.0,0.615530303030303
1,марля,Ma 26,марля,ma 26,False,1.0,2.0,1.0
2,"влюбленный
женский",BIOBIEHHY XEHCKHY,влюбленный женский,biobiehhy xehckhy,False,0.9444444444444444,1.0,0.6285403050108933
3,норвежец,HopBewkeu,норвежец,hopbewkeu,False,1.125,1.0,1.0
4,"Никонова
хлев ствол
Енисей",HUKOHOBa xsee cmBOn EHuceu 4,никонова хлев ствол енисей,hukohoba xsee cmbon ehuceu 4,False,0.9615384615384616,1.25,0.5924908424908424
5,переезжать,C M 保,переезжать,c m 保,False,1.0,3.0,1.0
6,девятый,AeBATbIM 二,девятый,aebatbim 二,False,1.4285714285714286,2.0,1.0
7,добреть,Ao6peTb N,добреть,ao6petb n,False,1.2857142857142858,2.0,1.0
8,верея-,一 Bepeg-,верея-,一 bepeg-,False,1.1666666666666667,2.0,0.5694444444444444
9,цикл,LNKN,цикл,lnkn,False,1.0,1.0,1.0
10,"гнедой 11478 кузовной
минералогия ознакомиться
авеню Карцев Гулиев дубляж
воодушевиться нищий",rHenOn 11478 Ky30BHON MuHepanonwa 03HaKOMMTbCA KapueB TynveB Ay6nAOK aBeIO BOOAyLeBMTbCA HNLN,гнедой 11478 кузовной минералогия ознакомиться авеню карцев гулиев дубляж воодушевиться нищий,rhenon 11478 ky30bhon muhepanonwa 03hakommtbca kapueb tynveb ay6naok abeio booaylebmtbca hnln,False,0.8602150537634409,0.9090909090909091,0.5591397849462365
11,ванна,BAHHA,ванна,bahha,False,1.0,1.0,1.0
12,провинциальный,mOONHLINOAHN MHDHAT C,провинциальный,moonhlinoahn mhdhat c,False,1.5,3.0,1.0
13,"кариес Ладога
Меренков априори  ,
кислый кинодраматург
сценарный сенной  )",KAPVEC MAAOrA 2 MEPEHKOB ANPNOPN KUCnb KUHOAPAMATYPT CLEHA PHbIN CEHHON,"кариес ладога меренков априори  , кислый кинодраматург сценарный сенной  )",kapvec maaora 2 mepehkob anpnopn kucnb kuhoapamatypt cleha phbin cehhon,False,0.9324324324324325,1.0,0.5838726049993657
14,"сапа вот-вот
пуговица",Cana Bom-Bom ny zob uua ,сапа вот-вот пуговица,cana bom-bom ny zob uua,False,0.9523809523809523,1.6666666666666667,0.5755693581780539
15,parent,parent,parent,parent,True,0.0,0.0,0.0
16,Суздалев,,суздалев,nan,False,1.0,1.0,1.0
17,"лабаз достоверно
провидец
бесшовный",na6a3 docmoBepHo npoeudeu 6ecwoBHblu HAGAKURE m,лабаз достоверно провидец бесшовный,na6a3 docmobepho npoeudeu 6ecwobhblu hagakure m,False,1.2571428571428571,1.5,0.6168186423505573
18,Крикунова(,Kouryool CODE,крикунова(,kouryool code,False,1.3,2.0,1.0
19,"опыт
Есипов
Куница",y ObIT ECHIIOB KyHKILa 同,опыт есипов куница,y obit echiiob kyhkila 同,False,1.2222222222222223,1.6666666666666667,0.6018518518518519
20,экспансивный(,aKCnaHCUeHbIUC,экспансивный(,akcnahcuehbiuc,False,1.0769230769230769,1.0,1.0
21,Манчестер),MaHuecmep) 口,манчестер),mahuecmep) 口,False,1.1,2.0,0.6055555555555556
22,иголочка восстанавливать,S HTOOTKa BOCCTaHaBJIHBaT,иголочка восстанавливать,s htootka bocctahabjihbat,False,1.0,1.5,0.6394444444444445
23,"Закавказье
Хвойницкий",× X 3ak aBk a3be XBONHNUKNN,закавказье хвойницкий,× x 3ak abk a3be xbonhnuknn,False,1.2380952380952381,3.0,0.6384479717813052
24,пролетариат,,пролетариат,nan,False,1.0,1.0,1.0
25,заметно стирать!,3aMeTHO CTHpaTb!,заметно стирать!,3ametho cthpatb!,False,0.875,1.0,0.5833333333333333
26,"мудрствовать редчайший
подборка роно
погубить стемнеть
89212 тол
раскритиковать",迎X国不份,мудрствовать редчайший подборка роно погубить стемнеть 89212 тол раскритиковать,迎x国不份,False,1.0,1.0,1.0
27,Шипов,Wnnod 白口口,шипов,wnnod 白口口,False,1.8,2.0,1.0
28,"9399691431
продувной",9399691431 npanybHOM,9399691431 продувной,9399691431 npanybhom,False,0.45,0.5,0.17999999999999994
29,"ляжка
сорный
сшибка",JS>Kka COPHbN cWv6ka,ляжка сорный сшибка,js>kka cophbn cwv6ka,False,0.9473684210526315,1.0,0.5982456140350878
30,Франциск,正 心  、,франциск,正 心  、,False,1.0,3.0,1.0
31,9142591539,9142591539,9142591539,9142591539,True,0.0,0.0,0.0
32,"протока
попа
взлетать",BmnRNI 月 了 IPOTOKA nOIA B3IETATD ,протока попа взлетать,bmnrni 月 了 ipotoka noia b3ietatd,False,1.4285714285714286,2.0,0.6140873015873016
33,60251,口 国 60251,60251,口 国 60251,False,0.8,2.0,1.0
34,доблестный,到日 doonecmail,доблестный,到日 doonecmail,False,1.3,2.0,1.0
35,Шкляров,WKAapoe,шкляров,wkaapoe,False,1.0,1.0,1.0
36,"шиться
87025",mHTBca 87025,шиться 87025,mhtbca 87025,False,0.5,0.5,0.33333333333333337
37,СУБД,开 8y9  anfo ACCAEINICT,субд,开 8y9  anfo accaeinict,False,5.5,4.0,1.0
38,увеселительный,yBecenNTenbHbM,увеселительный,ybecenntenbhbm,False,1.0,1.0,1.0
39,корифей,Kopupei,корифей,kopupei,False,1.0,1.0,1.0
40,"диоксид
темно
47381
запасти .
седалище", NOKCN TEMHO 47381 3anacT ceannwe,диоксид темно 47381 запасти . седалище,nokcn temho 47381 3anact ceannwe,False,0.7631578947368421,0.8333333333333334,0.493969298245614
41,Юлдашева,OnAaweBa,юлдашева,onaaweba,False,1.0,1.0,1.0
42,Рябцева),PABLIEBA) V YI CL STOBIES,рябцева),pablieba) v yi cl stobies,False,3.0,5.0,0.6116666666666666
43,"Кудревич
булькать",福 D ?  5 ?  n Kyopesuu 6ynbkamb,кудревич булькать,福 d ?  5 ?  n kyopesuu 6ynbkamb,False,1.7647058823529411,4.0,0.6363061353573687
44,"делец
Семко",aen eu CeMKo N,делец семко,aen eu cemko n,False,1.1818181818181819,2.0,0.6125541125541125
45,"smile
круг",TAG SMILE KPYT 发 羊,smile круг,tag smile kpyt 发 羊,False,1.2,2.0,0.5222222222222221
46,"Хватов;
тостер","XBaTOB, TocTep ECALCAOA iFACSCUM LIRPINU ",хватов; тостер,"xbatob, toctep ecalcaoa ifacscum lirpinu",False,2.7857142857142856,2.5,0.6345238095238095
47,"горький Зимин
наградить 9307300401",V ropbKHA 3HMNH 9307300401 HarpaATb,горький зимин наградить 9307300401,v ropbkha 3hmnh 9307300401 harpaatb,False,0.9117647058823529,1.0,0.49232923938806294
48,Костевич,KOCTeBNu,костевич,koctebnu,False,1.0,1.0,1.0
49,калым,KAILIM,калым,kailim,False,1.2,1.0,1.0
50,посланец,nocnaney CINWN,посланец,nocnaney cinwn,False,1.75,2.0,1.0
51,"прогреметь
шелкопряд
гадский",porpemetb WenkonpaA raAckun 一 I,прогреметь шелкопряд гадский,porpemetb wenkonpaa raackun 一 i,False,1.0714285714285714,1.6666666666666667,0.6213517665130568
52,салфетка.,CaJpeTKa.,салфетка.,cajpetka.,False,0.8888888888888888,1.0,0.5925925925925926
53,"ride
little",ride little eole oNoOVo,ride little,ride little eole onoovo,False,1.0909090909090908,1.0,0.10434782608695647
54,"Ломов Желтова
нахрапистый крупица
Руденя 9947989816
Гончаревич идиллия",nOMOB enTOBa HaxpanncTbi kpynnya PyAeHA 9947989816 rOHyapeBNY NA UR,ломов желтова нахрапистый крупица руденя 9947989816 гончаревич идиллия,nomob entoba haxpannctbi kpynnya pyaeha 9947989816 rohyapebny na ur,False,0.7571428571428571,1.0,0.501137171286425
