index,answer,prediction,answer_clean,pred_clean,correct,cer,wer,jaro_winkler
0,"Щукин
лемех",Щукин ^еМеХ,щукин лемех,щукин ^емех,False,0.09090909090909091,0.5,0.036363636363636376
1,марля,[,марля,[,False,1.0,1.0,1.0
2,"влюбленный
женский",влювлЕнный жвнский,влюбленный женский,влювленный жвнский,False,0.1111111111111111,1.0,0.051851851851851816
3,норвежец,ЮрВЮОЩ,норвежец,юрвюощ,False,0.75,1.0,0.48611111111111116
4,"Никонова
хлев ствол
Енисей",Нчконоса хлез спЗол Енчсей,никонова хлев ствол енисей,нчконоса хлез спзол енчсей,False,0.23076923076923078,1.0,0.2284615384615385
5,переезжать,(@реезжагь,переезжать,(@реезжагь,False,0.3,1.0,0.24761904761904763
6,девятый,5 девятый,девятый,5 девятый,False,0.2857142857142857,1.0,0.07407407407407407
7,добреть,Чобреть,добреть,чобреть,False,0.14285714285714285,1.0,0.09523809523809523
8,верея-,Верея-,верея-,верея-,True,0.0,0.0,0.0
9,цикл,ЦИКЛ,цикл,цикл,True,0.0,0.0,0.0
10,"гнедой 11478 кузовной
минералогия ознакомиться
авеню Карцев Гулиев дубляж
воодушевиться нищий",педой 11478 кузовной миералопия ОзНакОмИГЬСЯ авен Карцев Гулиев дубляж воодушевигься #щий,гнедой 11478 кузовной минералогия ознакомиться авеню карцев гулиев дубляж воодушевиться нищий,педой 11478 кузовной миералопия ознакомигься авен карцев гулиев дубляж воодушевигься #щий,False,0.0967741935483871,0.5454545454545454,0.19136432048086938
11,ванна,4,ванна,4,False,1.0,1.0,1.0
12,провинциальный,провииакьй,провинциальный,провииакьй,False,0.35714285714285715,1.0,0.09142857142857141
13,"кариес Ладога
Меренков априори  ,
кислый кинодраматург
сценарный сенной  )",КАРИЕС   ЛАДОГА МЕРЕНКОВ АПРИОРИ КИСЛЫЙ КИНОДРАМАТУРГ СЦЕНАРНЫЙ СЕННОЙ,"кариес ладога меренков априори  , кислый кинодраматург сценарный сенной  )",кариес   ладога меренков априори кислый кинодраматург сценарный сенной,False,0.10810810810810811,0.2,0.045096525096525064
14,"сапа вот-вот
пуговица","с<,и 8ой 8 ой 47з08 и/а",сапа вот-вот пуговица,"с<,и 8ой 8 ой 47з08 и/а",False,0.7619047619047619,2.0,0.5017253278122844
15,parent,2аге/4,parent,2аге/4,False,1.0,1.0,1.0
16,Суздалев,СУЗДАЛЕВ,суздалев,суздалев,True,0.0,0.0,0.0
17,"лабаз достоверно
провидец
бесшовный",лабаз досшоверно провч@ец бесшовный аев,лабаз достоверно провидец бесшовный,лабаз досшоверно провч@ец бесшовный аев,False,0.2,0.75,0.05304029304029301
18,Крикунова(,СО.: 4087( Крчку},крикунова(,со.: 4087( крчку},False,1.6,3.0,0.5607843137254902
19,"опыт
Есипов
Куница",ОПЫТ КВ Кунища,опыт есипов куница,опыт кв кунища,False,0.3333333333333333,0.6666666666666666,0.12857142857142856
20,экспансивный(,ЭКСПаНСНВНЫЙ,экспансивный(,экспанснвный,False,0.15384615384615385,1.0,0.06561771561771568
21,Манчестер),Манчеспер),манчестер),манчеспер),False,0.1,1.0,0.040000000000000036
22,иголочка восстанавливать,нголочка восстанавливать,иголочка восстанавливать,нголочка восстанавливать,False,0.041666666666666664,0.5,0.02777777777777768
23,"Закавказье
Хвойницкий",Закавказье Хвойницкий,закавказье хвойницкий,закавказье хвойницкий,True,0.0,0.0,0.0
24,пролетариат,),пролетариат,),False,1.0,1.0,1.0
25,заметно стирать!,заметно стирать!,заметно стирать!,заметно стирать!,True,0.0,0.0,0.0
26,"мудрствовать редчайший
подборка роно
погубить стемнеть
89212 тол
раскритиковать","',5 1 ' ; ` , Е: ,  4: Та лынс2а ш26",мудрствовать редчайший подборка роно погубить стемнеть 89212 тол раскритиковать,"',5 1 ' ; ` , е: ,  4: та лынс2а ш26",False,0.8734177215189873,1.3333333333333333,0.553680262541022
27,Шипов,Шипо?`,шипов,шипо?`,False,0.4,1.0,0.10666666666666658
28,"9399691431
продувной",ЧЕ94 прадуВнпй,9399691431 продувной,че94 прадувнпй,False,0.5,1.0,0.26190476190476186
29,"ляжка
сорный
сшибка",ляжка сорнй сшибка,ляжка сорный сшибка,ляжка сорнй сшибка,False,0.05263157894736842,0.3333333333333333,0.010526315789473717
30,Франциск,Францио,франциск,францио,False,0.25,1.0,0.07857142857142851
31,9142591539,9142891539,9142591539,9142891539,False,0.1,1.0,0.06222222222222218
32,"протока
попа
взлетать",ПРОТОКА пОп ВЗЛЕТАТЬ 5ч ч чъа шчч ч € !,протока попа взлетать,протока поп взлетать 5ч ч чъа шчч ч € !,False,0.9523809523809523,2.6666666666666665,0.13992673992673998
33,60251,60251,60251,60251,True,0.0,0.0,0.0
34,доблестный,Ооблесшны',доблестный,ооблесшны',False,0.3,1.0,0.20000000000000007
35,Шкляров,Шкляроб,шкляров,шкляроб,False,0.14285714285714285,1.0,0.05714285714285716
36,"шиться
87025",питвау 87025,шиться 87025,питвау 87025,False,0.3333333333333333,0.5,0.22222222222222232
37,СУБД,89ъ9,субд,89ъ9,False,1.0,1.0,1.0
